product_id,name,category,price
P00001,Mean Thing,Books,198.7
P00002,End Item,Electronics,603.38
P00003,According Thing,Fashion,748.83
P00004,Government Gadget,Fashion,145.14
P00005,Work Gear,Fashion,79.11
P00006,Blood Item,Beauty,774.95
P00007,Spend Gear,Toys,855.87
P00008,President Item,Fashion,346.48
P00009,Well Item,Toys,789.84
P00010,Network Device,Fashion,274.5
P00011,However Device,Electronics,12.54
P00012,Prove Thing,Beauty,728.79
P00013,Citizen Gear,Beauty,839.1
P00014,Begin Item,Home,584.12
P00015,Cover Thing,Books,663.34
P00016,Always Gadget,Beauty,866.61
P00017,Field Item,Beauty,452.08
P00018,Drop Gadget,Electronics,489.5
P00019,Safe Thing,Fashion,339.12
P00020,Price Device,Beauty,765.24
P00021,Onto Thing,Beauty,383.44
P00022,Town Gadget,Books,933.52
P00023,Successful Item,Toys,870.91
P00024,Imagine Gear,Electronics,980.97
P00025,Thousand Thing,Books,246.42
P00026,About Item,Beauty,389.14
P00027,Design Device,Beauty,857.45
P00028,Design Device,Electronics,416.67
P00029,Attorney Device,Home,324.99
P00030,Job Item,Home,478.25
P00031,North Thing,Beauty,914.3
P00032,Ago Item,Beauty,387.42
P00033,Deal Item,Books,988.53
P00034,Sit Gear,Toys,794.47
P00035,Most Gear,Toys,655.5
P00036,Become Thing,Books,160.58
P00037,Either Gear,Books,965.18
P00038,In Device,Fashion,134.98
P00039,Heavy Gear,Beauty,965.7
P00040,Check Device,Fashion,338.67
P00041,Drop Thing,Home,109.36
P00042,Series Item,Beauty,846.59
P00043,World Item,Beauty,108.71
P00044,Area Gear,Electronics,911.34
P00045,Memory Device,Beauty,25.19
P00046,Population Gadget,Home,152.71
P00047,By Gadget,Toys,872.22
P00048,Near Gadget,Toys,970.26
P00049,Plant Item,Beauty,84.08
P00050,Above Item,Toys,783.71
P00051,Energy Device,Fashion,272.37
P00052,Member Gear,Beauty,627.03
P00053,Music Gadget,Fashion,403.51
P00054,Democratic Device,Books,89.51
P00055,Conference Device,Books,335.28
P00056,Lay Gear,Electronics,677.61
P00057,Food Device,Beauty,538.29
P00058,Break Gear,Books,954.6
P00059,Front Thing,Books,630.53
P00060,Return Gear,Toys,888.56
P00061,What Gadget,Electronics,493.07
P00062,Teacher Gadget,Electronics,545.61
P00063,Apply Gear,Toys,621.28
P00064,Similar Thing,Beauty,242.42
P00065,Music Thing,Fashion,687.56
P00066,Late Gadget,Beauty,294.51
P00067,Free Thing,Fashion,235.21
P00068,Floor Device,Electronics,99.48
P00069,Occur Item,Home,978.55
P00070,Yes Device,Beauty,762.77
P00071,Yard Gadget,Home,706.85
P00072,Care Thing,Fashion,109.5
P00073,Goal Gear,Beauty,174.7
P00074,Successful Item,Home,306.47
P00075,Call Gear,Home,38.66
P00076,Magazine Gadget,Beauty,331.13
P00077,We Thing,Home,65.56
P00078,Agent Gear,Beauty,364.88
P00079,Always Gear,Home,436.38
P00080,Soldier Item,Electronics,251.76
P00081,Film Item,Beauty,417.93
P00082,Decide Thing,Electronics,684.98
P00083,Detail Item,Toys,188.26
P00084,Above Gear,Books,183.32
P00085,Trade Gear,Electronics,613.4
P00086,They Gadget,Home,388.72
P00087,Affect Gear,Fashion,686.3
P00088,Family Thing,Toys,502.69
P00089,On Device,Electronics,587.33
P00090,Common Gadget,Toys,239.87
P00091,Support Gadget,Electronics,641.53
P00092,Thank Thing,Electronics,464.97
P00093,Seat Thing,Fashion,670.17
P00094,Marriage Item,Fashion,899.92
P00095,From Gadget,Electronics,470.6
P00096,Himself Item,Books,294.76
P00097,Office Gear,Fashion,551.13
P00098,Thought Gadget,Fashion,83.12
P00099,Protect Gadget,Fashion,945.78
P00100,Court Device,Beauty,987.78
P00101,Care Gadget,Toys,306.16
P00102,Station Gear,Electronics,962.41
P00103,Attention Item,Books,693.41
P00104,Eye Item,Fashion,462.27
P00105,Environment Device,Beauty,309.1
P00106,Face Gear,Toys,999.38
P00107,Maybe Item,Home,854.8
P00108,By Thing,Home,115.59
P00109,Father Gear,Fashion,387.55
P00110,Trial Gear,Books,365.37
P00111,End Device,Books,302.91
P00112,History Item,Toys,702.29
P00113,Behavior Gear,Toys,31.72
P00114,Raise Item,Electronics,831.74
P00115,Available Thing,Fashion,401.85
P00116,Fund Device,Home,18.02
P00117,Grow Thing,Electronics,866.42
P00118,Treatment Device,Books,780.53
P00119,Right Gear,Electronics,973.87
P00120,Relate Device,Home,911.51
P00121,Indeed Gadget,Books,747.72
P00122,Employee Item,Toys,834.51
P00123,Guy Item,Beauty,903.91
P00124,Win Gadget,Beauty,777.98
P00125,Every Thing,Toys,237.82
P00126,Crime Gadget,Fashion,803.91
P00127,You Gear,Electronics,226.81
P00128,Probably Gear,Books,198.23
P00129,Issue Item,Toys,258.12
P00130,There Gear,Toys,758.02
P00131,Coach Item,Fashion,769.8
P00132,Appear Gadget,Electronics,684.05
P00133,Dark Gadget,Toys,145.41
P00134,Summer Gadget,Home,106.19
P00135,Attention Item,Toys,631.18
P00136,Available Gadget,Books,49.03
P00137,Girl Gadget,Electronics,790.72
P00138,Although Thing,Books,43.03
P00139,Leave Gadget,Electronics,371.21
P00140,Space Gear,Home,140.1
P00141,Center Item,Books,910.53
P00142,Indeed Thing,Beauty,333.45
P00143,Age Device,Toys,421.35
P00144,Series Item,Home,208.79
P00145,Serve Gear,Electronics,788.65
P00146,Miss Item,Books,877.7
P00147,Media Gear,Toys,372.2
P00148,Central Gear,Home,506.78
P00149,Involve Device,Electronics,279.8
P00150,Together Item,Beauty,172.9
P00151,Walk Device,Beauty,914.91
P00152,Police Device,Electronics,944.75
P00153,Work Item,Beauty,967.71
P00154,Toward Gadget,Home,302.19
P00155,Decision Gadget,Toys,871.69
P00156,Sit Device,Beauty,806.19
P00157,Play Thing,Toys,473.65
P00158,Region Device,Fashion,84.55
P00159,Idea Device,Beauty,756.61
P00160,Kid Device,Fashion,233.36
P00161,Partner Gadget,Toys,679.56
P00162,Career Gadget,Books,677.66
P00163,Mention Gadget,Toys,403.44
P00164,Feeling Device,Home,847.29
P00165,Man Thing,Books,561.74
P00166,Space Gadget,Books,99.4
P00167,Rise Item,Beauty,400.63
P00168,Something Item,Beauty,271.81
P00169,Center Item,Beauty,132.35
P00170,Sense Gear,Toys,374.9
P00171,Notice Device,Books,751.52
P00172,Whatever Item,Home,269.54
P00173,Tend Device,Home,387.22
P00174,Late Item,Fashion,642.16
P00175,Decision Thing,Electronics,377.76
P00176,Civil Device,Home,678.09
P00177,Pattern Item,Beauty,476.76
P00178,Information Gadget,Fashion,623.35
P00179,Condition Device,Beauty,943.74
P00180,Series Gear,Books,334.73
P00181,Reach Gadget,Books,613.98
P00182,Long Gadget,Toys,651.18
P00183,Interest Gear,Beauty,639.05
P00184,Season Gadget,Home,469.62
P00185,Radio Gadget,Electronics,704.07
P00186,Baby Item,Beauty,652.75
P00187,Participant Item,Home,125.51
P00188,Role Device,Fashion,54.89
P00189,Under Device,Beauty,46.84
P00190,Place Device,Fashion,995.97
P00191,Everything Item,Home,124.96
P00192,Different Device,Home,242.45
P00193,Somebody Gadget,Home,542.17
P00194,Must Item,Home,394.76
P00195,Health Device,Books,377.3
P00196,Myself Gadget,Toys,949.89
P00197,Cup Device,Home,699.52
P00198,Ready Thing,Books,544.79
P00199,Modern Device,Electronics,591.47
P00200,Series Thing,Books,729.33
P00201,Off Device,Fashion,886.56
P00202,Film Gear,Electronics,658.37
P00203,Two Device,Fashion,835.36
P00204,Piece Item,Toys,619.5
P00205,Scientist Item,Beauty,939.66
P00206,So Thing,Beauty,286.94
P00207,Paper Item,Books,693.38
P00208,Bad Gadget,Fashion,225.1
P00209,Article Gear,Toys,450.25
P00210,Result Gear,Beauty,243.75
P00211,Themselves Gadget,Toys,369.06
P00212,Fill Thing,Toys,981.12
P00213,Individual Gadget,Beauty,373.66
P00214,Soldier Gadget,Beauty,902.68
P00215,Describe Gear,Electronics,648.38
P00216,Yourself Device,Electronics,69.94
P00217,Affect Gear,Home,283.12
P00218,Position Gear,Fashion,968.52
P00219,Generation Item,Beauty,949.52
P00220,Father Gadget,Toys,825.95
P00221,Of Gear,Fashion,100.76
P00222,Sit Gadget,Home,219.98
P00223,Factor Item,Toys,643.1
P00224,Determine Gadget,Books,971.38
P00225,Letter Gear,Home,60.07
P00226,Push Gadget,Beauty,340.17
P00227,Force Item,Books,988.93
P00228,Page Device,Books,789.11
P00229,Receive Gadget,Home,213.15
P00230,Ten Gear,Beauty,831.52
P00231,Certain Item,Toys,558.67
P00232,Tax Gear,Books,590.52
P00233,Specific Gear,Home,814.92
P00234,Piece Gadget,Home,240.67
P00235,Put Gear,Toys,776.62
P00236,Skill Gadget,Beauty,790.76
P00237,Cell Device,Home,600.02
P00238,State Gear,Home,284.5
P00239,Buy Gear,Home,984.19
P00240,Son Gear,Fashion,987.65
P00241,Glass Thing,Electronics,544.81
P00242,Letter Thing,Toys,800.53
P00243,Evening Item,Fashion,118.83
P00244,Policy Thing,Home,867.78
P00245,Decide Item,Electronics,140.49
P00246,Discussion Thing,Toys,364.66
P00247,Model Device,Books,790.55
P00248,Minute Item,Toys,592.96
P00249,Mission Thing,Fashion,25.62
P00250,Author Device,Fashion,272.71
P00251,Your Thing,Fashion,135.49
P00252,Newspaper Gadget,Toys,426.75
P00253,Protect Gadget,Beauty,122.51
P00254,Rather Device,Home,72.92
P00255,Day Gear,Toys,453.79
P00256,Plant Gear,Books,368.42
P00257,Return Gadget,Books,597.73
P00258,Then Gadget,Books,457.49
P00259,Media Gear,Home,229.33
P00260,Figure Item,Electronics,618.96
P00261,Her Gear,Fashion,729.97
P00262,Doctor Thing,Home,909.66
P00263,Boy Item,Fashion,662.31
P00264,First Thing,Home,308.61
P00265,However Gadget,Fashion,646.91
P00266,Car Item,Home,40.84
P00267,Leg Thing,Electronics,998.6
P00268,Produce Thing,Toys,848.83
P00269,Young Item,Books,432.01
P00270,Key Device,Fashion,116.88
P00271,What Gear,Home,715.28
P00272,Use Thing,Electronics,449.13
P00273,More Gear,Electronics,900.27
P00274,Nature Gear,Books,328.89
P00275,Best Gadget,Home,156.85
P00276,Building Gear,Toys,134.93
P00277,Arm Thing,Fashion,628.07
P00278,Pressure Gadget,Toys,589.51
P00279,Red Item,Beauty,715.03
P00280,Election Thing,Electronics,387.1
P00281,Radio Gadget,Electronics,601.42
P00282,Remember Gadget,Books,301.95
P00283,Shoulder Gear,Home,510.5
P00284,Language Item,Beauty,435.9
P00285,Member Thing,Beauty,795.17
P00286,For Thing,Beauty,123.27
P00287,Future Gear,Home,658.17
P00288,Worry Item,Fashion,878.93
P00289,Big Thing,Electronics,555.82
P00290,Tonight Item,Home,866.84
P00291,Yeah Thing,Beauty,435.77
P00292,Tax Gear,Electronics,889.21
P00293,Standard Device,Electronics,419.68
P00294,Light Thing,Beauty,829.15
P00295,Thing Gadget,Beauty,404.74
P00296,Blue Gadget,Electronics,732.32
P00297,Stuff Device,Books,319.42
P00298,Traditional Thing,Toys,319.4
P00299,Our Gadget,Toys,262.34
P00300,Employee Gadget,Electronics,954.06
P00301,Arrive Thing,Fashion,689.95
P00302,Experience Item,Fashion,479.53
P00303,Lot Thing,Books,100.31
P00304,Control Item,Home,94.51
P00305,Certain Device,Electronics,437.56
P00306,Day Gear,Fashion,747.14
P00307,Operation Device,Electronics,378.92
P00308,Later Gear,Books,138.81
P00309,Store Gadget,Beauty,69.38
P00310,Market Gadget,Books,957.06
P00311,Century Gadget,Books,566.07
P00312,Shake Item,Books,673.31
P00313,Like Gear,Fashion,416.7
P00314,Person Gadget,Books,874.87
P00315,Television Thing,Beauty,941.72
P00316,Center Gear,Beauty,428.71
P00317,Budget Gear,Beauty,916.69
P00318,Future Item,Home,60.93
P00319,Edge Device,Books,294.75
P00320,Through Item,Beauty,319.32
P00321,Usually Gadget,Home,112.56
P00322,More Thing,Books,512.34
P00323,North Thing,Books,163.18
P00324,Four Gadget,Electronics,487.37
P00325,Design Thing,Books,848.8
P00326,Usually Item,Toys,356.61
P00327,Remain Item,Electronics,560.7
P00328,Career Gadget,Fashion,123.74
P00329,Ok Thing,Toys,285.78
P00330,Impact Gear,Fashion,233.9
P00331,More Device,Home,434.82
P00332,Time Gear,Toys,565.36
P00333,Both Item,Electronics,769.76
P00334,Add Item,Fashion,625.51
P00335,Right Item,Fashion,678.23
P00336,Pass Item,Fashion,561.17
P00337,Decision Device,Books,612.9
P00338,Lot Gadget,Electronics,661.25
P00339,Network Item,Fashion,696.54
P00340,Into Thing,Electronics,38.66
P00341,Rate Device,Beauty,280.54
P00342,Medical Item,Beauty,764.79
P00343,First Thing,Toys,922.32
P00344,Authority Item,Books,357.51
P00345,Development Gadget,Beauty,189.59
P00346,Apply Device,Home,151.82
P00347,Must Gadget,Electronics,660.77
P00348,Charge Device,Fashion,78.89
P00349,Rich Item,Home,743.56
P00350,Cup Item,Toys,972.09
P00351,Fall Device,Home,100.84
P00352,Ask Thing,Toys,535.18
P00353,Material Thing,Beauty,382.43
P00354,Figure Item,Electronics,459.11
P00355,Green Item,Toys,165.84
P00356,Sister Gadget,Fashion,318.52
P00357,Identify Item,Home,331.14
P00358,Little Device,Toys,941.99
P00359,Four Thing,Books,600.26
P00360,Size Thing,Toys,884.51
P00361,Eight Gadget,Fashion,164.02
P00362,Wear Thing,Beauty,756.89
P00363,End Thing,Electronics,59.26
P00364,Recently Gear,Books,90.77
P00365,Claim Device,Fashion,448.68
P00366,Article Gear,Toys,429.77
P00367,Wear Thing,Fashion,611.01
P00368,Task Gadget,Home,420.04
P00369,Miss Gadget,Fashion,223.41
P00370,Nothing Thing,Electronics,517.22
P00371,Hard Item,Electronics,351.72
P00372,Spend Gear,Fashion,119.78
P00373,Manager Thing,Home,681.44
P00374,Similar Gadget,Books,597.2
P00375,Nice Gadget,Toys,531.66
P00376,Actually Gear,Books,315.34
P00377,Tonight Device,Home,228.31
P00378,Sea Thing,Beauty,984.6
P00379,Team Thing,Electronics,64.23
P00380,Smile Device,Beauty,212.38
P00381,Money Gear,Toys,945.87
P00382,Operation Gear,Home,769.68
P00383,West Gadget,Toys,766.52
P00384,Pull Device,Beauty,296.55
P00385,Everything Gear,Home,128.78
P00386,Guess Item,Books,502.41
P00387,Green Thing,Books,436.35
P00388,High Gadget,Beauty,137.89
P00389,Security Device,Beauty,537.26
P00390,Yes Gadget,Electronics,237.81
P00391,Condition Gear,Books,563.14
P00392,Major Gear,Electronics,671.37
P00393,Day Item,Beauty,360.63
P00394,Whatever Thing,Toys,403.1
P00395,Seven Device,Home,744.62
P00396,Approach Gadget,Books,441.86
P00397,Response Thing,Home,465.16
P00398,Might Gear,Electronics,87.08
P00399,See Thing,Electronics,319.93
P00400,Sure Gadget,Fashion,434.99
P00401,Various Thing,Toys,410.38
P00402,Item Gear,Books,643.74
P00403,Worry Thing,Books,296.62
P00404,Treatment Device,Electronics,410.98
P00405,Every Thing,Toys,966.54
P00406,Area Device,Home,180.15
P00407,About Thing,Books,948.14
P00408,Now Gear,Electronics,465.5
P00409,Hand Item,Fashion,692.71
P00410,To Item,Beauty,368.23
P00411,Road Device,Books,442.34
P00412,Task Device,Toys,114.8
P00413,Item Item,Beauty,441.32
P00414,Leave Gear,Home,406.45
P00415,Ever Gear,Fashion,87.86
P00416,Suggest Thing,Books,871.82
P00417,Even Device,Beauty,748.35
P00418,Local Gear,Toys,229.36
P00419,Give Gadget,Beauty,781.33
P00420,Tell Thing,Electronics,85.62
P00421,Attorney Thing,Beauty,636.89
P00422,Within Item,Home,535.3
P00423,Easy Device,Beauty,201.96
P00424,Official Gear,Home,778.47
P00425,Money Gear,Home,357.59
P00426,Difference Thing,Toys,958.64
P00427,Current Device,Electronics,648.99
P00428,Significant Device,Fashion,156.21
P00429,Edge Device,Home,111.78
P00430,System Item,Beauty,263.41
P00431,North Gear,Toys,181.76
P00432,Little Device,Beauty,161.34
P00433,Investment Item,Home,761.56
P00434,Draw Gadget,Toys,84.6
P00435,Difficult Thing,Beauty,951.78
P00436,Either Gear,Books,631.67
P00437,Education Gear,Electronics,469.31
P00438,Anything Thing,Beauty,568.1
P00439,That Gadget,Electronics,583.67
P00440,Own Item,Home,684.32
P00441,Know Thing,Home,883.23
P00442,Hospital Item,Home,646.56
P00443,Rise Item,Electronics,986.67
P00444,Upon Item,Beauty,329.98
P00445,Fund Gadget,Books,971.26
P00446,Low Gadget,Electronics,322.98
P00447,Guess Item,Toys,445.37
P00448,Account Device,Books,474.23
P00449,Suddenly Gear,Beauty,635.07
P00450,Medical Gadget,Beauty,798.37
P00451,School Device,Electronics,595.51
P00452,Since Device,Fashion,358.42
P00453,Western Gear,Books,83.45
P00454,Issue Item,Home,467.13
P00455,Fear Device,Books,47.23
P00456,Religious Device,Beauty,375.05
P00457,Leader Device,Toys,294.21
P00458,Consumer Item,Beauty,648.22
P00459,Language Item,Electronics,977.59
P00460,Out Gadget,Fashion,99.39
P00461,Man Gadget,Home,598.14
P00462,Road Device,Books,390.64
P00463,Sing Item,Fashion,584.53
P00464,Six Item,Home,954.69
P00465,Kitchen Gear,Beauty,741.53
P00466,View Device,Toys,50.61
P00467,Marriage Gadget,Beauty,909.96
P00468,Receive Gear,Electronics,575.94
P00469,Idea Item,Electronics,196.36
P00470,Third Gadget,Toys,608.96
P00471,Participant Device,Books,506.35
P00472,If Item,Fashion,958.15
P00473,Course Device,Toys,456.02
P00474,Book Gear,Fashion,812.86
P00475,Third Gear,Home,839.0
P00476,Describe Gear,Books,982.56
P00477,Require Thing,Electronics,93.49
P00478,Successful Device,Books,649.67
P00479,American Gear,Beauty,48.75
P00480,Movie Gear,Electronics,710.55
P00481,Hope Device,Fashion,991.08
P00482,Board Gear,Electronics,528.83
P00483,Property Device,Beauty,613.71
P00484,Like Item,Electronics,370.26
P00485,Employee Device,Toys,918.76
P00486,Way Device,Fashion,393.54
P00487,Simple Thing,Beauty,776.72
P00488,Operation Item,Toys,682.11
P00489,Area Thing,Home,61.84
P00490,Mrs Gear,Books,634.58
P00491,Understand Device,Toys,341.3
P00492,Itself Item,Home,336.39
P00493,Month Thing,Beauty,562.38
P00494,Both Device,Beauty,392.7
P00495,Forward Gadget,Beauty,259.48
P00496,Black Thing,Fashion,853.05
P00497,Of Item,Beauty,964.77
P00498,Ago Thing,Books,606.67
P00499,Entire Thing,Fashion,158.87
P00500,Town Thing,Beauty,90.69
