user_id,product_id,rating,timestamp
U0085,P00406,2,2025-01-29T11:29:21
U0019,P00055,4,2025-01-05T09:41:31
U0045,P00065,4,2025-01-09T18:28:30
U0040,P00250,2,2025-04-14T10:11:50
U0084,P00120,5,2025-04-02T19:41:33
U0090,P00163,5,2025-03-28T19:54:36
U0085,P00286,1,2025-01-09T09:43:12
U0051,P00404,2,2025-02-24T05:27:37
U0017,P00331,4,2025-05-06T13:00:57
U0077,P00388,4,2025-02-28T11:03:41
U0091,P00178,1,2025-02-13T08:33:51
U0011,P00413,2,2025-01-13T00:25:04
U0040,P00457,5,2025-01-13T12:46:02
U0072,P00225,3,2025-03-20T05:01:07
U0049,P00376,1,2025-05-08T06:17:04
U0083,P00099,5,2025-06-07T04:00:12
U0043,P00011,4,2025-02-13T07:34:31
U0017,P00353,1,2025-06-09T08:45:01
U0086,P00194,1,2025-03-24T22:34:24
U0090,P00184,3,2025-05-09T04:06:47
U0095,P00371,5,2025-01-03T19:46:26
U0088,P00069,3,2025-06-01T13:02:28
U0068,P00129,1,2025-02-04T06:51:41
U0012,P00461,5,2025-05-11T18:13:20
U0083,P00021,2,2025-03-31T08:37:18
U0086,P00249,1,2025-02-11T14:18:45
U0055,P00362,3,2025-01-30T05:22:19
U0066,P00225,3,2025-06-13T19:46:38
U0047,P00287,3,2025-02-11T01:45:02
U0003,P00151,3,2025-03-24T05:39:57
U0047,P00278,3,2025-04-28T18:19:55
U0040,P00357,4,2025-01-17T11:20:30
U0024,P00251,1,2025-05-05T12:48:55
U0028,P00098,2,2025-02-05T11:58:12
U0044,P00291,2,2025-02-22T22:02:57
U0099,P00096,5,2025-06-15T04:37:04
U0063,P00279,4,2025-03-30T14:52:41
U0025,P00179,1,2025-04-04T16:56:12
U0029,P00166,3,2025-02-28T01:17:05
U0018,P00375,3,2025-02-02T14:59:02
U0020,P00240,2,2025-05-20T03:36:42
U0010,P00141,2,2025-04-01T22:36:57
U0038,P00445,4,2025-01-18T23:24:55
U0013,P00426,1,2025-02-06T19:25:38
U0065,P00307,1,2025-05-17T17:03:55
U0099,P00469,5,2025-01-07T03:34:31
U0070,P00441,3,2025-04-23T10:01:31
U0095,P00284,1,2025-02-07T03:46:02
U0068,P00083,1,2025-04-09T23:02:14
U0005,P00036,4,2025-03-13T13:16:14
U0085,P00272,4,2025-03-13T06:44:26
U0044,P00080,5,2025-02-12T15:01:00
U0099,P00231,3,2025-01-17T20:43:24
U0080,P00152,5,2025-03-07T12:48:51
U0017,P00420,4,2025-05-18T09:09:18
U0077,P00135,3,2025-06-18T15:46:21
U0049,P00278,4,2025-02-22T00:48:20
U0020,P00188,4,2025-04-22T23:14:34
